,DATETIMERECEIVEDUTC,DATETIMECOMPLETEDUTC,WORKORDERREFNO,OBJECTID,FACILITYID,INTID,COUNCILDISTRICT,SERVICERECORDID,SERVICECATEGORY,DATETIMERECEIVED,STATUS,DATETIMECOMPLETED,DETAILSUMMARY,LATITUDE,LONGITUDE,IMAGENAME,HYPERLINK,MYSANJOSEREFNO,LASTUPDATETHIRTYDAYS,LASTUPDATE,NOTES,ENTERPRISEID,GlobalID
0,1590721500000,1590726000000,WO-0000341544,1,83900,83900,8,,Debris & Illegal Dumping,1590696300000,Closed,1590700800000,,37.328093,-121.818059,,,,1598363089000,1600986109000,Homeless debris,IWM-ILDM-0000083900,{87E47F44-FE16-4833-BC9C-B4E55BD89187}
1,1578073213000,1578595560000,WO-0000297255,2,71678,71678,5,456126,Debris & Illegal Dumping,1578044413000,Closed,1578566760000,"1 Garbage , 1 General Debris",37.36267206,-121.83089235,,,200103-000115,1598363046000,1600986109000,Garbage,IWM-ILDM-0000071678,{1065F486-C19E-4B42-90AC-4611879FE08E}
2,1627243159000,1627498800000,WO-0000445585,3,115783,115783,4,780969,Debris & Illegal Dumping,1627217959000,Closed,1627473600000,,37.37782634,-121.86682096,,,210725-000137,1624917719000,1627534938000,"The location of constant Illegal Dumping is at near the Intersection of Ensign Way and Branbury Way , near the lefthand sidewalk of 2008 Ensign Way. The person who supposedly dumped it has left a empty package with the tracking number still on it.",IWM-ILDM-0000115783,{82AC2832-EA43-41AD-AB1F-FFB4142E9247}
3,1552915723000,,WO-0000205471,4,51267,51267,3,299977,Debris & Illegal Dumping,1552890523000,Closed,,,37.3604203,-121.9040196,,,190318-000024,1598363378000,1600986109000,this will be the second such report in under 6 months for the same address.  Prev ENFORCEMENT measures obviously failed.   Strong ENFORCEMENT measures are needed to prevent this from happening again. This is a continued blight on the neighborhood from ign,IWM-ILDM-0000051267,{D27C6745-55BC-4C14-B3D6-D3AC6C33006C}
4,1462316400000,1462328280000,WO-0000011247,5,4285,4285,5,,Debris & Illegal Dumping,1462291200000,Closed,1462303080000,,37.356961,-121.853061,,,,1598363071000,1600986109000,on sidewalk mattress,IWM-ILDM-0000004285,{A8FF94CC-D920-4851-92BA-1C290F05B037}
5,1658257477000,1658763900000,WO-0000519800,6,137379,137379,7,1049210,Debris & Illegal Dumping,1658232277000,Closed,1658738700000,"1 Garbage , 1 Other Furniture",37.2983662,-121.8339814,,,220719-000419,1656194487000,1658811691000,Many small miscellaneous items can be found on the corner of Santee River Ct and Lone Bluff Way near the address given.,IWM-ILDM-0000137379,{229EBD1C-BA22-4339-9F95-E163298C0514}
6,1597428071000,1598401740000,WO-0000361409,7,90425,90425,5,586794,Debris & Illegal Dumping,1597402871000,Closed,1598376540000,,37.3406681,-121.8301438,,,200814-000217,1598363272000,1600986109000,"and story road, mattress, garbage and other debris",IWM-ILDM-0000090425,{2E6EF863-A3BC-47A1-8A43-1176060DB180}
7,1575754920000,1575909960000,WO-0000289696,8,69930,69930,5,443501,Debris & Illegal Dumping,1575726120000,Closed,1575881160000,,37.35175786,-121.79904968,,,191207-000171,1598362590000,1600986109000,Dryer,IWM-ILDM-0000069930,{517E0FC7-9BF3-424F-A870-8DC99C0E4594}
8,1626133165000,1626462000000,WO-0000441594,9,114398,114398,3,770068,Debris & Illegal Dumping,1626107965000,Closed,1626436800000,,37.34059938,-121.86882599,,,210712-001011,1623880913000,1626498125000,E San Antonio left by residents living there.,IWM-ILDM-0000114398,{54C8CC8A-4A97-4D2D-84EC-AD31AFFCDA6F}
9,1614618300000,1614889800000,WO-0000403836,10,102520,102520,1,,Debris & Illegal Dumping,1614589500000,Closed,1614861000000,,37.314524,-121.970076,,,,1612303302000,1614924108000,furniture and appliances illegally dumped.,IWM-ILDM-0000102520,{8F231B15-771A-4249-AEC6-C3FE1E5616A3}
10,1612222690000,1612294740000,WO-0000397625,11,100482,100482,2,655638,Debris & Illegal Dumping,1612193890000,Closed,1612265940000,,37.25267362,-121.82298611,,,210201-001574,1609682483000,1612303286000,Illegal dumping,IWM-ILDM-0000100482,{79CD20D8-6CD2-4D37-BDCB-38FCD77EC3C0}
11,1533504488000,1534859340000,WO-0000142803,12,37601,37601,3,197922,Debris & Illegal Dumping,1533479288000,Closed,1534834140000,"12 E-waste, 4 Garbage , 3 Mattress , 2 Other E-waste",37.3406429,-121.86104693,,,180805-000161,1598363008000,1600986109000,3 Mattresses have been here for several days,IWM-ILDM-0000037601,{601E52F3-3DEF-4CE6-920F-21E351C7767F}
12,1515182651000,1515266460000,WO-0000084522,13,24260,24260,5,101632,Debris & Illegal Dumping,1515153851000,Closed,1515237660000,,37.3664389,-121.858453,,,180105-000269,1598362474000,1644606315000,"Accumulation of furniture in numerous piles on Educational Park Drive, between Mabury Road and Las Plumas Avenue.",IWM-ILDM-0000024260,{764D59E4-41D8-4BFE-B01B-F10FFE10F8DC}
13,1573229397000,,WO-0000280409,14,67893,67893,1,427996,Debris & Illegal Dumping,1573200597000,Closed,,,37.32063231,-121.97158612,,,191108-000042,1598363385000,1600986109000,"WTF, I don’t care if this is a homeless issue it’s illegal dumping. This crap has been there for months and has not been addressed. I’ve sent an email to the email to homeless organizations and have had no movement. This is rediculous next I guess I’ll go",IWM-ILDM-0000067893,{9D26D4D1-A2A5-4C43-9073-41C366519955}
14,1621459299000,1621619160000,WO-0000425771,15,108949,108949,7,726417,Debris & Illegal Dumping,1621434099000,Closed,1621593960000,2 Other Furniture,37.3110586,-121.83266749,,,210519-000550,1619042505000,1621659713000,"On McLaughlin Avenue, near the intersection of McLaughlin Avenue and Idlewood Drive.  The dumped items are near a telephone poll (both before and after the telephone poll) between the second and third houses from the corner.",IWM-ILDM-0000108949,{7C097908-7E4D-4177-BF40-4124A7E56D4B}
15,1650552784000,1650654000000,WO-0000502504,16,131928,131928,5,977219,Debris & Illegal Dumping,1650527584000,Closed,1650628800000,,37.3582415,-121.8450747,,,220421-000042,1648036879000,1650654082000,There has been illegal dumping going on here for a few years it is an issue right now again they are starting to throw trash and would like to get it picked up as soon as possible as it only gets worse. I believe it’s called alleyway number 39 between A..,IWM-ILDM-0000131928,{A7A784BD-C372-4DAA-8D67-95B394A5F0EC}
16,1554746620000,1555014960000,WO-0000212157,17,52740,52740,9,310685,Debris & Illegal Dumping,1554721420000,Closed,1554989760000,,37.2783121,-121.9323116,,,190408-000226,1598363074000,1600986109000,This is more than just dumping. They try to make this a sale but after the rain it is just tons of junk.,IWM-ILDM-0000052740,{AFA8E22A-D3F1-4D04-AFC0-4A8EBEC9D1C8}
17,1603817820000,1603817940000,WO-0000377649,18,95135,95135,7,,Debris & Illegal Dumping,1603792620000,Closed,1603792740000,"3 Construction Debris , 2 Garbage",37.29001401,-121.8128711,,,,1601208064000,1644606315000,Wood and garbage,IWM-ILDM-0000095135,{69FFFDE3-882A-44DF-9B9F-C9817DBB82D2}
18,1634929380000,1634929500000,WO-0000466384,19,121649,121649,5,,Debris & Illegal Dumping,1634904180000,Closed,1634904300000,4 Garbage,37.363758,-121.828463,,,,1632333669000,1634950870000,Trash,IWM-ILDM-0000121649,{CCA3C3D6-5A28-42C0-B89A-4C0139AC0507}
19,1532118660000,,WO-0000138130,20,36415,36415,9,190289,Debris & Illegal Dumping,1532093460000,Closed,,,37.2502059,-121.9349783,,,180720-000317,1598363394000,1600986109000,"Residence has 7 or more abandoned vehicles in the backyard as well as illegal dumping of solvents, chemicals, and gasoline.",IWM-ILDM-0000036415,{473AF65C-41A5-4995-9A2F-017219342122}
20,1630552620000,1630609200000,WO-0000455813,21,118773,118773,3,814370,Debris & Illegal Dumping,1630527420000,Closed,1630584000000,,37.3821556,-121.887792,,,210901-000925,1628013671000,1644606315000,Between Ringwood and Townsend,IWM-ILDM-0000118773,{CE6FBA33-C024-4362-B8FA-0CE548F29CF6}
21,1494520620000,1494954143000,WO-0000035454,22,13737,13737,6,,Debris & Illegal Dumping,1494495420000,Closed,1494928943000,,37.314155,-121.910928,,,,1598362743000,1600986109000,2 TV,IWM-ILDM-0000013737,{FA29C3D9-7CE5-459F-A0D1-4FFDEFAE3983}
22,1513969863000,1514493840000,WO-0000082001,23,23735,23735,1,96401,Debris & Illegal Dumping,1513941063000,Closed,1514465040000,"7 Garbage , 2 Shopping Cart",37.29521561,-121.99675751,,,171222-000172,1598363268000,1600986109000,Abandon shopping cart etc at the dead end of Graves Ave by the dog psrk,IWM-ILDM-0000023735,{61BE11A3-45C3-4A5E-BBA7-6C6A984FBC11}
23,1548531540000,1548792000000,WO-0000191077,24,48388,48388,7,275060,Debris & Illegal Dumping,1548502740000,Closed,1548763200000,,37.31440757,-121.84563931,,,190126-000100,1598362553000,1600986109000,illegal dumping creating rats & critters,IWM-ILDM-0000048388,{1FCFD979-6E8F-400A-BDCA-C1DD4B22DDD8}
24,1546879560000,1547061780000,WO-0000185645,25,47205,47205,8,,Debris & Illegal Dumping,1546850760000,Closed,1547032980000,,37.335221,-121.828137,,,,1598363363000,1600986109000,someone left a shopping cart sitting in front of his home,IWM-ILDM-0000047205,{3A775496-4D94-463C-91C9-B4AE02BFDC75}
25,1617296040000,1618252260000,WO-0000412295,26,104980,104980,7,,Debris & Illegal Dumping,1617270840000,Closed,1618227060000,"1 Garbage , 1 General Debris , 2 Yard Waste",37.310654,-121.875682,,,,1615672885000,1618290097000,"C/S San Jose Ave  pile of debris, baby cribs, fright loading zone between a van.",IWM-ILDM-0000104980,{F8F80D09-6B93-4912-8FBC-D6AB1198F4F8}
26,1620679855000,1620752820000,WO-0000423031,27,108048,108048,3,718995,Debris & Illegal Dumping,1620654655000,Closed,1620727620000,"1 Garbage , 1 General Debris , 1 Other Furniture , 1 TV Set",37.32922672,-121.87943728,,,210510-000592,1618142483000,1620759686000,On reed and the alleyway between 5th and 6th,IWM-ILDM-0000108048,{F1AB17DE-17BD-451F-9241-8CAF54844ED6}
27,1533589560000,1534456680000,WO-0000143161,28,37689,37689,1,,Debris & Illegal Dumping,1533564360000,Closed,1534431480000,2 Couch,37.305637,-121.970839,,,,1598363359000,1600986109000,2 couches on parkstrip,IWM-ILDM-0000037689,{A489537F-685D-4DB2-8CC6-7D10CEA5E91A}
28,1644513574000,1644861180000,WO-0000488978,29,127702,127702,3,928123,Debris & Illegal Dumping,1644484774000,Closed,1644832380000,,37.3202703,-121.879453,,,220210-000185,1642284081000,1644904884000,in the red line on the curb: trees and small lumbers.,IWM-ILDM-0000127702,{1CF08CD6-2FB5-4245-B2CB-0D6A0F11504E}
29,1563985953000,1565120880000,WO-0000246400,30,60276,60276,3,367266,Debris & Illegal Dumping,1563960753000,Closed,1565095680000,,37.3211909,-121.87277924,,,190724-000121,1598362811000,1600986109000,"Large amount of trash/clothing from homeless people living behind my house in alley way. This keeps happening. I want NO DUMPING /NO LOITERING signs put up, and actually enforced please. The alley is overgrown with weeds and invasive trees that need to be",IWM-ILDM-0000060276,{20E50B7F-4BEF-4C15-935E-3B5CB2E3E4B7}
30,1535569422000,1537380660000,WO-0000150405,31,39327,39327,8,210482,Debris & Illegal Dumping,1535544222000,Closed,1537355460000,"2 Couch , 1 Other Furniture",37.3076968,-121.8096623,,,180829-000125,1598363199000,1600986109000,"Fence, chair on the side walk",IWM-ILDM-0000039327,{6E630A6A-2B76-49C0-9B32-1E43323CD1C8}
31,1610576040000,1610576340000,WO-0000393442,32,99384,99384,9,,Debris & Illegal Dumping,1610547240000,Closed,1610547540000,.3 General Debris,37.26934,-121.910305,,,,1607965285000,1610586089000,Junk,IWM-ILDM-0000099384,{997DB4F5-1D32-4263-BA92-91CE47379578}
32,1527882603000,1528147560000,WO-0000123049,33,32883,32883,3,167890,Debris & Illegal Dumping,1527857403000,Closed,1528122360000,,37.33190432,-121.87599756,,,180601-000237,1598363149000,1600986109000,Furniture on park strip,IWM-ILDM-0000032883,{E44B0D2A-710A-418A-A63A-2CD965672C7E}
33,1486505820000,1486670400000,WO-0000028484,34,11294,11294,8,,Debris & Illegal Dumping,1486477020000,Closed,1486641600000,1 General Debris,37.319166,-121.821654,,,,1598363124000,1600986109000,toilet,IWM-ILDM-0000011294,{77EAC1A6-D49B-47C3-9073-FDD258371AA4}
34,1660927836000,1661273400000,WO-0000526117,35,139409,139409,7,1074665,Debris & Illegal Dumping,1660902636000,Closed,1661248200000,,37.3262505,-121.85486,,,220819-000262,1658700089000,1661317292000,"Wood, cones, car parts, and construction A-Frames were left on the sidewalk across the street from 837 Mistflower Drive. These items were left here by individuals who left this site. Can we please address this? Thanks!",IWM-ILDM-0000139409,{B4AF8A8C-F411-42F4-8BE7-305FEDAC3B00}
35,1523404823000,1523468520000,WO-0000109867,36,29890,29890,4,145536,Debris & Illegal Dumping,1523379623000,Closed,1523443320000,1 Couch,37.41269684,-121.87832642,,,180410-000460,1598362408000,1600986109000,Old couch/futon,IWM-ILDM-0000029890,{7264F5E8-CBE2-4D57-BDB0-6DC76C99E7FF}
36,1554853806000,1555099740000,WO-0000212624,37,52833,52833,5,311593,Debris & Illegal Dumping,1554828606000,Closed,1555074540000,"2 Construction Debris , 1 Couch , 5 E-waste, 4 Other Furniture , 2 Yard Waste",37.36327078,-121.82962657,,,190409-000517,1598363083000,1600986109000,Dresser Mattresses,IWM-ILDM-0000052833,{FF01BFF8-5C15-484C-8989-34506467EA45}
37,1616605620000,1616606100000,WO-0000409975,38,104301,104301,8,,Debris & Illegal Dumping,1616580420000,Closed,1616580900000,"2 General Debris , 1 Other Furniture",37.349306,-121.798182,,,,1613995275000,1616612480000,General debris,IWM-ILDM-0000104301,{1875926E-2C3A-41EE-8D10-A0B5C81C0822}
38,1564532962000,1564595400000,WO-0000248589,39,60715,60715,3,371562,Debris & Illegal Dumping,1564507762000,Closed,1564570200000,,37.358246,-121.89378798,,,190730-000663,1598362954000,1600986109000,Dumped cart at this spot,IWM-ILDM-0000060715,{0A10C298-B357-44E1-97FC-4670604A40A3}
39,1522806224000,1522867905000,WO-0000108132,40,29506,29506,7,142588,Debris & Illegal Dumping,1522781024000,Closed,1522842705000,3 Garbage,37.3112397,-121.8474102,,,180403-000510,1598362373000,1600986109000,"Bags of trash, clotting, electronics, across the street from 630 Quinn Ave from Pace Supply on sidewalk",IWM-ILDM-0000029506,{46CE722B-B3FF-4875-890B-982382E70C79}
40,1570748268000,1570816255000,WO-0000271719,41,65991,65991,3,412632,Debris & Illegal Dumping,1570723068000,Closed,1570791055000,1 Refrigerator,37.3493412,-121.8690028,,,191010-000401,1598363219000,1600986109000,Fridge,IWM-ILDM-0000065991,{39572F0B-FDB5-49BC-A9A7-073F4455D4E6}
41,1471464300000,1471900200000,WO-0000017525,42,7301,7301,7,,Debris & Illegal Dumping,1471439100000,Closed,1471875000000,1 Construction Debris,37.311288,-121.868954,,,,1598363207000,1600986109000,P-1   pole in the roadway blocking 1-1/2  lanes-,IWM-ILDM-0000007301,{69B5EF7C-4D62-4EE5-81EE-FAD9EE89D485}
