DATETIMERECEIVEDUTC,DATETIMECOMPLETEDUTC,WORKORDERREFNO,OBJECTID,FACILITYID,INTID,COUNCILDISTRICT,SERVICERECORDID,SERVICECATEGORY,DATETIMERECEIVED,STATUS,DATETIMECOMPLETED,DETAILSUMMARY,LATITUDE,LONGITUDE,IMAGENAME,HYPERLINK,MYSANJOSEREFNO,LASTUPDATETHIRTYDAYS,LASTUPDATE,NOTES,ENTERPRISEID,GlobalID
2020-05-28 19:05:00 America/Los_Angeles,2020-05-28 20:20:00 America/Los_Angeles,WO-0000341544,1,83900,83900,8,,Debris & Illegal Dumping,2020-05-28 12:05:00 America/Los_Angeles,Closed,1590700800000,,37.328093,-121.818059,,,,2020-08-25 05:44:49 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Homeless debris,IWM-ILDM-0000083900,{87E47F44-FE16-4833-BC9C-B4E55BD89187}
2020-01-03 09:40:13 America/Los_Angeles,2020-01-09 10:46:00 America/Los_Angeles,WO-0000297255,2,71678,71678,5,456126,Debris & Illegal Dumping,2020-01-03 01:40:13 America/Los_Angeles,Closed,1578566760000,"1 Garbage , 1 General Debris",37.36267206,-121.83089235,,,200103-000115,2020-08-25 05:44:06 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Garbage,IWM-ILDM-0000071678,{1065F486-C19E-4B42-90AC-4611879FE08E}
2021-07-25 11:59:19 America/Los_Angeles,2021-07-28 11:00:00 America/Los_Angeles,WO-0000445585,3,115783,115783,4,780969,Debris & Illegal Dumping,2021-07-25 04:59:19 America/Los_Angeles,Closed,1627473600000,,37.37782634,-121.86682096,,,210725-000137,2021-06-28 14:01:59 America/Los_Angeles,2021-07-28 21:02:18 America/Los_Angeles,"The location of constant Illegal Dumping is at near the Intersection of Ensign Way and Branbury Way , near the lefthand sidewalk of 2008 Ensign Way. The person who supposedly dumped it has left a empty package with the tracking number still on it.",IWM-ILDM-0000115783,{82AC2832-EA43-41AD-AB1F-FFB4142E9247}
2019-03-18 05:28:43 America/Los_Angeles,,WO-0000205471,4,51267,51267,3,299977,Debris & Illegal Dumping,2019-03-17 22:28:43 America/Los_Angeles,Closed,,,37.3604203,-121.9040196,,,190318-000024,2020-08-25 05:49:38 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,this will be the second such report in under 6 months for the same address.  Prev ENFORCEMENT measures obviously failed.   Strong ENFORCEMENT measures are needed to prevent this from happening again. This is a continued blight on the neighborhood from ign,IWM-ILDM-0000051267,{D27C6745-55BC-4C14-B3D6-D3AC6C33006C}
2016-05-03 15:00:00 America/Los_Angeles,2016-05-03 18:18:00 America/Los_Angeles,WO-0000011247,5,4285,4285,5,,Debris & Illegal Dumping,2016-05-03 08:00:00 America/Los_Angeles,Closed,1462303080000,,37.356961,-121.853061,,,,2020-08-25 05:44:31 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,on sidewalk mattress,IWM-ILDM-0000004285,{A8FF94CC-D920-4851-92BA-1C290F05B037}
2022-07-19 11:04:37 America/Los_Angeles,2022-07-25 07:45:00 America/Los_Angeles,WO-0000519800,6,137379,137379,7,1049210,Debris & Illegal Dumping,2022-07-19 04:04:37 America/Los_Angeles,Closed,1658738700000,"1 Garbage , 1 Other Furniture",37.2983662,-121.8339814,,,220719-000419,2022-06-25 14:01:27 America/Los_Angeles,2022-07-25 21:01:31 America/Los_Angeles,Many small miscellaneous items can be found on the corner of Santee River Ct and Lone Bluff Way near the address given.,IWM-ILDM-0000137379,{229EBD1C-BA22-4339-9F95-E163298C0514}
2020-08-14 10:01:11 America/Los_Angeles,2020-08-25 16:29:00 America/Los_Angeles,WO-0000361409,7,90425,90425,5,586794,Debris & Illegal Dumping,2020-08-14 03:01:11 America/Los_Angeles,Closed,1598376540000,,37.3406681,-121.8301438,,,200814-000217,2020-08-25 05:47:52 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"and story road, mattress, garbage and other debris",IWM-ILDM-0000090425,{2E6EF863-A3BC-47A1-8A43-1176060DB180}
2019-12-07 13:42:00 America/Los_Angeles,2019-12-09 08:46:00 America/Los_Angeles,WO-0000289696,8,69930,69930,5,443501,Debris & Illegal Dumping,2019-12-07 05:42:00 America/Los_Angeles,Closed,1575881160000,,37.35175786,-121.79904968,,,191207-000171,2020-08-25 05:36:30 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Dryer,IWM-ILDM-0000069930,{517E0FC7-9BF3-424F-A870-8DC99C0E4594}
2021-07-12 15:39:25 America/Los_Angeles,2021-07-16 11:00:00 America/Los_Angeles,WO-0000441594,9,114398,114398,3,770068,Debris & Illegal Dumping,2021-07-12 08:39:25 America/Los_Angeles,Closed,1626436800000,,37.34059938,-121.86882599,,,210712-001011,2021-06-16 14:01:53 America/Los_Angeles,2021-07-16 21:02:05 America/Los_Angeles,E San Antonio left by residents living there.,IWM-ILDM-0000114398,{54C8CC8A-4A97-4D2D-84EC-AD31AFFCDA6F}
2021-03-01 09:05:00 America/Los_Angeles,2021-03-04 12:30:00 America/Los_Angeles,WO-0000403836,10,102520,102520,1,,Debris & Illegal Dumping,2021-03-01 01:05:00 America/Los_Angeles,Closed,1614861000000,,37.314524,-121.970076,,,,2021-02-02 14:01:42 America/Los_Angeles,2021-03-04 22:01:48 America/Los_Angeles,furniture and appliances illegally dumped.,IWM-ILDM-0000102520,{8F231B15-771A-4249-AEC6-C3FE1E5616A3}
2021-02-01 15:38:10 America/Los_Angeles,2021-02-02 11:39:00 America/Los_Angeles,WO-0000397625,11,100482,100482,2,655638,Debris & Illegal Dumping,2021-02-01 07:38:10 America/Los_Angeles,Closed,1612265940000,,37.25267362,-121.82298611,,,210201-001574,2021-01-03 06:01:23 America/Los_Angeles,2021-02-02 14:01:26 America/Los_Angeles,Illegal dumping,IWM-ILDM-0000100482,{79CD20D8-6CD2-4D37-BDCB-38FCD77EC3C0}
2018-08-05 13:28:08 America/Los_Angeles,2018-08-21 05:49:00 America/Los_Angeles,WO-0000142803,12,37601,37601,3,197922,Debris & Illegal Dumping,2018-08-05 06:28:08 America/Los_Angeles,Closed,1534834140000,"12 E-waste, 4 Garbage , 3 Mattress , 2 Other E-waste",37.3406429,-121.86104693,,,180805-000161,2020-08-25 05:43:28 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,3 Mattresses have been here for several days,IWM-ILDM-0000037601,{601E52F3-3DEF-4CE6-920F-21E351C7767F}
2018-01-05 12:04:11 America/Los_Angeles,2018-01-06 11:21:00 America/Los_Angeles,WO-0000084522,13,24260,24260,5,101632,Debris & Illegal Dumping,2018-01-05 04:04:11 America/Los_Angeles,Closed,1515237660000,,37.3664389,-121.858453,,,180105-000269,2020-08-25 05:34:34 America/Los_Angeles,2022-02-11 11:05:15 America/Los_Angeles,"Accumulation of furniture in numerous piles on Educational Park Drive, between Mabury Road and Las Plumas Avenue.",IWM-ILDM-0000024260,{764D59E4-41D8-4BFE-B01B-F10FFE10F8DC}
2019-11-08 08:09:57 America/Los_Angeles,,WO-0000280409,14,67893,67893,1,427996,Debris & Illegal Dumping,2019-11-08 00:09:57 America/Los_Angeles,Closed,,,37.32063231,-121.97158612,,,191108-000042,2020-08-25 05:49:45 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"WTF, I don’t care if this is a homeless issue it’s illegal dumping. This crap has been there for months and has not been addressed. I’ve sent an email to the email to homeless organizations and have had no movement. This is rediculous next I guess I’ll go",IWM-ILDM-0000067893,{9D26D4D1-A2A5-4C43-9073-41C366519955}
2021-05-19 13:21:39 America/Los_Angeles,2021-05-21 09:46:00 America/Los_Angeles,WO-0000425771,15,108949,108949,7,726417,Debris & Illegal Dumping,2021-05-19 06:21:39 America/Los_Angeles,Closed,1621593960000,2 Other Furniture,37.3110586,-121.83266749,,,210519-000550,2021-04-21 14:01:45 America/Los_Angeles,2021-05-21 21:01:53 America/Los_Angeles,"On McLaughlin Avenue, near the intersection of McLaughlin Avenue and Idlewood Drive.  The dumped items are near a telephone poll (both before and after the telephone poll) between the second and third houses from the corner.",IWM-ILDM-0000108949,{7C097908-7E4D-4177-BF40-4124A7E56D4B}
2022-04-21 06:53:04 America/Los_Angeles,2022-04-22 11:00:00 America/Los_Angeles,WO-0000502504,16,131928,131928,5,977219,Debris & Illegal Dumping,2022-04-20 23:53:04 America/Los_Angeles,Closed,1650628800000,,37.3582415,-121.8450747,,,220421-000042,2022-03-23 04:01:19 America/Los_Angeles,2022-04-22 11:01:22 America/Los_Angeles,There has been illegal dumping going on here for a few years it is an issue right now again they are starting to throw trash and would like to get it picked up as soon as possible as it only gets worse. I believe it’s called alleyway number 39 between A..,IWM-ILDM-0000131928,{A7A784BD-C372-4DAA-8D67-95B394A5F0EC}
